curvature,moment
1.1231229344455926e-21,-7.815970093361102e-14
1.9047619047619053e-05,1245.3025376555195
3.8095238095238106e-05,1809.5076756726423
5.7142857142857155e-05,2250.6862745071426
7.619047619047621e-05,2658.2403186126644
9.523809523809527e-05,3052.583779725325
0.00011428571428571432,3441.3189161623695
0.00013333333333333337,3820.8808656102046
0.00015238095238095242,4058.786196202057
0.00017142857142857148,4136.328151037154
0.00019047619047619054,4212.591739236375
0.0002095238095238096,4287.526742490058
0.00022857142857142865,4361.079305347467
0.0002476190476190477,4433.188430388447
0.00026666666666666673,4503.615080661116
0.0002857142857142858,4566.43590070558
0.00030476190476190485,4628.143287609267
0.0003238095238095239,4688.680331051971
0.00034285714285714296,4746.955724763356
0.000361904761904762,4771.712888082873
0.00038095238095238107,4783.532091571617
0.00040000000000000013,4792.994833004023
0.0004190476190476192,4802.294431191572
0.00043809523809523824,4811.426340126652
0.0004571428571428573,4819.233433641578
0.00047619047619047635,4825.999551744126
0.0004952380952380954,4832.755924388182
0.0005142857142857144,4839.502486338367
0.0005333333333333335,4840.275013256153
0.0005523809523809525,4839.736187553704
0.0005714285714285716,4839.11375767862
0.0005904761904761906,4838.405144303384
0.0006095238095238097,4837.6076226783825
0.0006285714285714287,4836.71831071951
0.0006476190476190478,4835.734155805209
0.0006666666666666669,4834.65192010739
0.0006857142857142859,4833.468164251846
0.000704761904761905,4832.17922906911
0.000723809523809524,4830.781215155113
0.0007428571428571431,4829.26995991097
0.0007619047619047621,4827.6410116703455
0.0007809523809523812,4825.889600448956
0.0008000000000000003,4824.010604759969
0.0008190476190476193,4821.998513827482
0.0008380952380952384,4819.847384391789
0.0008571428571428574,4817.550791127541
0.0008761904761904765,4815.1017694791635
0.0008952380952380955,4812.492749443753
0.0009142857142857146,4809.7154784823615
0.0009333333333333336,4806.760931291683
0.0009523809523809527,4803.619203586425
0.0009714285714285718,4800.279386281385
0.0009904761904761907,4796.729415456341
0.0010095238095238098,4792.890202679821
0.0010285714285714288,4788.643088391979
0.0010476190476190479,4784.0768172891185
0.001066666666666667,4779.155851528923
0.001085714285714286,4773.836713317911
0.001104761904761905,4768.065183655002
0.001123809523809524,4761.772073885592
0.0011428571428571432,4754.866561749098
0.0011619047619047622,4746.0988890963945
0.0011809523809523813,4735.0697652275585
0.0012000000000000003,4728.234567285029
0.0012190476190476194,4725.514681653668
0.0012380952380952384,4722.320596358301
0.0012571428571428575,4718.5693471841105
0.0012761904761904766,4714.1474555747845
0.0012952380952380956,4708.891980558534
0.0013142857142857147,4702.552912375019
0.0013333333333333337,4693.787059256761
0.0013523809523809528,4692.233215250844
0.0013714285714285718,4694.8731107558715
0.0013904761904761909,4697.917713028546
0.00140952380952381,4700.960576300659
0.001428571428571429,4704.001670430923
0.001447619047619048,4707.0409643971425
0.0014666666666666671,4710.078426259751
0.0014857142857142862,4713.114023123382
0.0015047619047619052,4716.147721096322
0.0015238095238095243,4719.179485247762
0.0015428571428571433,4722.20927956263
0.0015619047619047624,4725.23706689388
0.0015809523809523815,4728.262808912055
0.0016000000000000005,4731.286466051909
0.0016190476190476196,4734.307997455888
0.0016380952380952386,4737.327360914271
0.0016571428571428577,4740.344512801664
0.0016761904761904767,4743.359408009624
0.0016952380952380958,4746.371999875109
0.0017142857142857148,4749.382240104416
0.001733333333333334,4752.390078692261
0.001752380952380953,4755.395463835642
0.001771428571428572,4758.398341842036
0.001790476190476191,4761.398657031476
0.0018095238095238101,4764.3963516320055
0.0018285714285714292,4767.391365667957
0.0018476190476190482,4770.383636840446
0.0018666666666666673,4773.373100399396
0.0018857142857142864,4776.359689006338
0.0019047619047619054,4779.343332587216
